Designator,Mid X,Mid Y,Rotation,Layer
C1,38.36,-31.0,270.0,top
C2,38.37,-37.585,90.0,top
C3,38.38,-40.61,270.0,top
C4,30.52,-46.945,90.0,top
C5,28.07,-51.0,180.0,top
C6,38.35,-34.44,90.0,top
C7,22.926,-32.7525,0.0,top
C8,34.72,-26.0925,0.0,top
C9,34.72,-24.3885,0.0,top
J1,47.5,-34.5,180.0,bottom
J2,41.5,-6.35,0.0,bottom
J3,20.5,-6.35,0.0,bottom
J4,26.0,-17.5,0.0,bottom
PSW1,8.25,-34.5,90.0,bottom
R1,23.736,-30.2225,270.0,top
SW1,4.5,-8.900001,270.0,top
SW2,17.5,-7.900001,270.0,top
SW3,45.5,-7.900001,270.0,top
SW4,58.5,-8.900001,270.0,top
SW5,4.5,-54.199999,90.0,top
SW6,56.5,-54.199999,90.0,top
U1,28.05,-48.19,90.0,top
U2,30.4875,-36.099,180.0,bottom
